date,WP(MW)
2020/1/7 10:30,4718.63
2020/1/7 10:45,4748.75
2020/1/7 11:00,4715.46
2020/1/7 11:15,4869.66
2020/1/7 11:30,4897.93
2020/1/7 11:45,5072.6
2020/1/7 12:00,5211.57
2020/1/7 12:15,5120.88
2020/1/7 12:30,4843.17
2020/1/7 12:45,4731.67
2020/1/7 13:00,4904.55
2020/1/7 13:15,4918.03
2020/1/7 13:30,4705.39
2020/1/7 13:45,4529.6
2020/1/7 14:00,4524.63
2020/1/7 14:15,4457.74
2020/1/7 14:30,4287.79
2020/1/7 14:45,4134.95
2020/1/7 15:00,4061.2
2020/1/7 15:15,3908.9
2020/1/7 15:30,3842.67
2020/1/7 15:45,3561.07
2020/1/7 16:00,3300.43
2020/1/7 16:15,3156.57
2020/1/7 16:30,3310.17
2020/1/7 16:45,3192.55
2020/1/7 17:00,3273.97
2020/1/7 17:15,3186.22
2020/1/7 17:30,3121.69
2020/1/7 17:45,2982.02
2020/1/7 18:00,2885.82
2020/1/7 18:15,2796.41
2020/1/7 18:30,2737.86
2020/1/7 18:45,2545.11
2020/1/7 19:00,2585.25
2020/1/7 19:15,2392.86
2020/1/7 19:30,2462.87
2020/1/7 19:45,2491.18
2020/1/7 20:00,2626.64
2020/1/7 20:15,2687.54
2020/1/7 20:30,2835.72
2020/1/7 20:45,2950.14
2020/1/7 21:00,2996.1
2020/1/7 21:15,3004.05
2020/1/7 21:30,3203.09
2020/1/7 21:45,3315.56
2020/1/7 22:00,3614.6
2020/1/7 22:15,3535.36
2020/1/7 22:30,3745.27
2020/1/7 22:45,3731.22
2020/1/7 23:00,3700.34
2020/1/7 23:15,3733.23
2020/1/7 23:30,3684.04
2020/1/7 23:45,3731.31
2020/1/8 0:00,3343.94
2020/1/8 0:15,2454.77
2020/1/8 0:30,2498.74
2020/1/8 0:45,2552.77
2020/1/8 1:00,2606.92
2020/1/8 1:15,2689.93
2020/1/8 1:30,2735.34
2020/1/8 1:45,2683.12
2020/1/8 2:00,2677.73
2020/1/8 2:15,2732.24
2020/1/8 2:30,2826.35
2020/1/8 2:45,2781.89
2020/1/8 3:00,2709.33
2020/1/8 3:15,2724.9
2020/1/8 3:30,2711.48
2020/1/8 3:45,2634.79
2020/1/8 4:00,2621.02
2020/1/8 4:15,2619.28
2020/1/8 4:30,2541.42
2020/1/8 4:45,2480.78
2020/1/8 5:00,2428.81
2020/1/8 5:15,2373.22
2020/1/8 5:30,2348.33
2020/1/8 5:45,2361.45
2020/1/8 6:00,2406.82
2020/1/8 6:15,2404.48
2020/1/8 6:30,2300.41
2020/1/8 6:45,2205.18
2020/1/8 7:00,2102.7
2020/1/8 7:15,1903.37
2020/1/8 7:30,1682.83
2020/1/8 7:45,1470.81
2020/1/8 8:00,1231.5
2020/1/8 8:15,929.56
2020/1/8 8:30,749.32
2020/1/8 8:45,673.58
2020/1/8 9:00,592.17
2020/1/8 9:15,538.3
2020/1/8 9:30,483.88
2020/1/8 9:45,506.01
2020/1/8 10:00,550.89
2020/1/8 10:15,605.49
2020/1/8 10:30,709.12
2020/1/8 10:45,812.74
2020/1/8 11:00,907.2
2020/1/8 11:15,971.39
2020/1/8 11:30,1014.85
2020/1/8 11:45,1078.35
2020/1/8 12:00,1083.07
2020/1/8 12:15,1081.31
2020/1/8 12:30,1029.67
2020/1/8 12:45,1026.56
2020/1/8 13:00,1066.38
2020/1/8 13:15,1090.05
2020/1/8 13:30,1133.92
2020/1/8 13:45,1147.26
2020/1/8 14:00,1158.48
2020/1/8 14:15,1193.68
2020/1/8 14:30,1126.89
2020/1/8 14:45,1132.12
2020/1/8 15:00,1078.31
2020/1/8 15:15,1042.06
2020/1/8 15:30,986.45
2020/1/8 15:45,943.32
2020/1/8 16:00,901.05
2020/1/8 16:15,997.07
2020/1/8 16:30,1055.12
2020/1/8 16:45,1123.25
2020/1/8 17:00,1133.56
2020/1/8 17:15,1300.42
2020/1/8 17:30,1447.35
2020/1/8 17:45,1529.54
2020/1/8 18:00,1666.35
2020/1/8 18:15,1832.84
2020/1/8 18:30,2026.94
2020/1/8 18:45,2125.58
2020/1/8 19:00,2117.33
2020/1/8 19:15,2150.55
2020/1/8 19:30,2340.69
2020/1/8 19:45,2420.04
2020/1/8 20:00,2388.13
2020/1/8 20:15,2478.76
2020/1/8 20:30,2471.48
2020/1/8 20:45,2455.93
2020/1/8 21:00,2602.35
2020/1/8 21:15,2805.28
2020/1/8 21:30,3081.84
2020/1/8 21:45,3183.76
2020/1/8 22:00,3399.17
2020/1/8 22:15,3538.52
2020/1/8 22:30,3524.25
2020/1/8 22:45,3516.74
2020/1/8 23:00,3455.83
2020/1/8 23:15,3386.75
2020/1/8 23:30,3351.88
2020/1/8 23:45,3373.73
2020/1/9 0:00,1321.28
2020/1/9 0:15,1121.91
2020/1/9 0:30,1124.4
2020/1/9 0:45,1065.47
2020/1/9 1:00,1077.25
2020/1/9 1:15,1118.12
2020/1/9 1:30,1107.13
2020/1/9 1:45,1174.17
2020/1/9 2:00,1188.89
2020/1/9 2:15,1200.58
2020/1/9 2:30,1266.27
