date,Active_Power,Current_Phase_Average_Mean,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Air_Pressure,Temperature_Probe_1
2019/1/15 9:00,62.21835327,92.30815824,1.61722221,42.06861083,144.0061131,946.1888936,54.21755091
2019/1/15 10:00,74.39923414,110.2064425,1.950555543,41.32361062,94.55791887,946.2694448,51.54682604
2019/1/15 11:00,81.7195282,121.8302015,1.658055564,39.72611078,13.07579151,947.0136007,47.33249474
2019/1/15 12:00,85.02524249,126.5764809,1.408333331,37.85472266,0.0001,947.5816701,46.42182
2019/1/15 13:00,83.77508545,124.6109072,2.0575,35.66444397,0.0001,949.2938944,45.89123631
2019/1/15 14:00,78.03846868,115.8775959,1.072222203,34.58333365,0.0001,950.7822367,45.0358572
2019/1/15 15:00,65.64652475,97.36739,1.834166641,33.84166718,0.0001,949.916392,44.84869003
2019/1/15 16:00,34.61878856,51.04286329,0.819444448,33.06250064,0.0001,949.5661163,44.26804765
2019/1/15 17:00,30.20319939,44.52612495,1.113888895,31.89472278,0.0001,949.1991577,43.81322034
2019/1/16 8:00,45.30675316,68.10374991,2.057499995,42.41777706,487.6921196,946.3447215,64.82816251
2019/1/16 9:00,64.25600497,96.11713409,2.029444426,42.61722247,423.8922914,945.6783295,61.41037178
2019/1/16 10:00,76.52314949,114.1093089,4.819722235,39.62111155,103.9987946,945.854716,50.91867669
2019/1/16 11:00,83.39824613,124.4751606,2.437777758,39.8111105,10.45584165,946.0011088,49.14865621
2019/1/16 12:00,86.26232656,128.669028,0.569722235,38.39388911,0.0001,946.503891,47.19473362
2019/1/16 13:00,87.38897705,129.9675573,0.476111126,36.63916683,0.0001,947.1330516,45.94100348
2019/1/16 14:00,78.23228073,115.6748412,1.270555551,37.54138947,0.0001,947.8805593,46.7580452
2019/1/16 15:00,62.07175287,91.72075526,0.937499995,36.64888891,0.0001,947.978892,46.32954184
2019/1/16 16:00,30.18813101,44.70751619,1.876944443,35.98333391,0.0001,948.0269368,44.96529706
2019/1/16 17:00,16.47824744,24.49136273,1.522500008,35.69083341,0.0001,947.8011119,45.56530984
2019/1/17 8:00,43.04172262,63.81073793,2.166666677,43.07916673,402.1049506,944.838623,63.54433854
2019/1/17 9:00,61.22622554,90.37181854,1.813888888,43.00000032,345.6152522,944.326945,57.53797595
2019/1/17 10:00,73.09847387,108.1459179,2.033888896,43.06166681,233.6386503,944.2549896,55.99012152
2019/1/17 11:00,80.90915553,120.8963922,1.397777771,41.52083333,19.0011331,944.6688944,49.47407341
2019/1/17 12:00,82.54049174,123.5185941,0.81972222,38.74861145,0.0001,945.4824982,46.37431335
2019/1/17 13:00,82.88133367,123.83723,1.091363631,36.93893849,0.0001,946.3813643,44.96029732
2019/1/17 14:00,58.71518342,87.85750198,1.262777776,34.95666695,0.0001,947.1475067,44.02729829
2019/1/17 15:00,51.463154,76.71241522,1.266944438,34.85111141,0.0001,947.2574972,44.21572463
2019/1/17 16:00,45.82681568,68.35772864,1.893333336,34.36888885,0.0001,947.2569427,44.36101119
2019/1/17 17:00,16.04843648,24.02989459,2.883611103,35.61583265,0.0001,947.2441762,46.10192235
2019/1/18 8:00,14.84736586,22.2666022,2.937777797,42.44138908,510.2581329,945.5047251,66.22477754
2019/1/18 9:00,18.98214841,28.39132373,5.340833267,32.32277791,34.33953714,947.4697266,43.97487577
2019/1/18 10:00,31.97200084,47.64319452,3.030277749,32.07277791,18.89821537,947.0088857,42.88757737
2019/1/18 11:00,24.05171474,36.05568043,1.626111085,34.58194447,18.70657914,946.4427745,45.48710283
2019/1/18 12:00,19.88294299,29.75193119,1.535555532,33.34250005,0.0001,947.2822215,44.34342829
2019/1/18 13:00,18.97900017,28.42197529,1.49500002,32.78888861,0.0001,948.165273,44.08260822
2019/1/18 14:00,33.21707153,49.51027616,0.828888888,32.13333305,0.0001,948.688619,43.53763549
2019/1/18 15:00,42.55163399,63.09799163,2.497272735,33.27590908,0.0001,948.9945457,44.7345484
2019/1/18 16:00,43.95252546,64.94658279,2.951388876,33.35111141,0.0001,948.463623,44.92655659
2019/1/18 17:00,26.96542613,39.8717804,3.426111112,33.32916737,0.0001,948.2658335,44.83176136
2019/1/19 8:00,38.49649445,57.25259113,1.364444445,41.31777763,434.7536163,945.092509,60.67263317
2019/1/19 9:00,58.7773269,87.30159442,3.406388889,39.90694459,168.3429833,945.4963837,54.30347792
2019/1/19 10:00,73.21273613,108.6118107,2.62348485,29.81060652,1.67353695,948.2897061,41.90874897
2019/1/19 11:00,81.37307549,120.7505163,1.413055554,28.68111118,12.930797,949.21639,42.75106144
2019/1/19 12:00,82.8558356,122.9901708,1.003333315,27.67722209,0.0001,950.573054,41.2080164
